,phase,img_path,label
0,train,datasets/AffectNet/train_set/images/245999.jpg,0
1,train,datasets/AffectNet/train_set/images/156106.jpg,6
2,train,datasets/AffectNet/train_set/images/71334.jpg,3
3,train,datasets/AffectNet/train_set/images/320891.jpg,1
4,train,datasets/AffectNet/train_set/images/350184.jpg,2
5,train,datasets/AffectNet/train_set/images/260364.jpg,1
6,train,datasets/AffectNet/train_set/images/72552.jpg,1
7,train,datasets/AffectNet/train_set/images/287100.jpg,1
8,train,datasets/AffectNet/train_set/images/243982.jpg,1
9,train,datasets/AffectNet/train_set/images/367854.jpg,0
10,train,datasets/AffectNet/train_set/images/325474.jpg,1
11,train,datasets/AffectNet/train_set/images/48134.jpg,1
12,train,datasets/AffectNet/train_set/images/184128.jpg,0
13,train,datasets/AffectNet/train_set/images/51794.jpg,1
14,train,datasets/AffectNet/train_set/images/41521.jpg,2
15,train,datasets/AffectNet/train_set/images/193546.jpg,0
16,train,datasets/AffectNet/train_set/images/401972.jpg,1
17,train,datasets/AffectNet/train_set/images/175567.jpg,0
18,train,datasets/AffectNet/train_set/images/177914.jpg,0
19,train,datasets/AffectNet/train_set/images/157536.jpg,2
20,train,datasets/AffectNet/train_set/images/141718.jpg,1
21,train,datasets/AffectNet/train_set/images/14661.jpg,2
22,train,datasets/AffectNet/train_set/images/50126.jpg,0
23,train,datasets/AffectNet/train_set/images/223415.jpg,1
24,train,datasets/AffectNet/train_set/images/246109.jpg,2
25,train,datasets/AffectNet/train_set/images/38609.jpg,1
26,train,datasets/AffectNet/train_set/images/143712.jpg,1
27,train,datasets/AffectNet/train_set/images/344692.jpg,3
28,train,datasets/AffectNet/train_set/images/160543.jpg,2
29,train,datasets/AffectNet/train_set/images/56505.jpg,2
30,train,datasets/AffectNet/train_set/images/413015.jpg,0
31,train,datasets/AffectNet/train_set/images/112444.jpg,2
32,train,datasets/AffectNet/train_set/images/111630.jpg,1
33,train,datasets/AffectNet/train_set/images/53389.jpg,1
34,train,datasets/AffectNet/train_set/images/232495.jpg,1
35,train,datasets/AffectNet/train_set/images/18378.jpg,0
36,train,datasets/AffectNet/train_set/images/159029.jpg,1
37,train,datasets/AffectNet/train_set/images/350456.jpg,6
38,train,datasets/AffectNet/train_set/images/388700.jpg,0
39,train,datasets/AffectNet/train_set/images/305487.jpg,0
40,train,datasets/AffectNet/train_set/images/51091.jpg,4
41,train,datasets/AffectNet/train_set/images/359596.jpg,0
42,train,datasets/AffectNet/train_set/images/177492.jpg,0
43,train,datasets/AffectNet/train_set/images/88547.jpg,0
44,train,datasets/AffectNet/train_set/images/99805.jpg,2
45,train,datasets/AffectNet/train_set/images/134765.jpg,1
46,train,datasets/AffectNet/train_set/images/9741.jpg,1
47,train,datasets/AffectNet/train_set/images/99056.jpg,1
48,train,datasets/AffectNet/train_set/images/165141.jpg,7
49,train,datasets/AffectNet/train_set/images/306885.jpg,1
50,train,datasets/AffectNet/train_set/images/98901.jpg,1
51,train,datasets/AffectNet/train_set/images/403287.jpg,1
52,train,datasets/AffectNet/train_set/images/107080.jpg,1
53,train,datasets/AffectNet/train_set/images/153493.jpg,0
54,train,datasets/AffectNet/train_set/images/314439.jpg,3
55,train,datasets/AffectNet/train_set/images/28003.jpg,2
56,train,datasets/AffectNet/train_set/images/75097.jpg,1
57,train,datasets/AffectNet/train_set/images/113931.jpg,0
58,train,datasets/AffectNet/train_set/images/187327.jpg,6
59,train,datasets/AffectNet/train_set/images/322517.jpg,1
60,train,datasets/AffectNet/train_set/images/298876.jpg,0
61,train,datasets/AffectNet/train_set/images/267707.jpg,1
62,train,datasets/AffectNet/train_set/images/236130.jpg,0
63,train,datasets/AffectNet/train_set/images/242365.jpg,2
64,train,datasets/AffectNet/train_set/images/21658.jpg,1
65,train,datasets/AffectNet/train_set/images/381945.jpg,1
66,train,datasets/AffectNet/train_set/images/33350.jpg,1
67,train,datasets/AffectNet/train_set/images/345108.jpg,1
68,train,datasets/AffectNet/train_set/images/202410.jpg,1
