Name,Path,Identity,Gender_code,Gender,Age,Race_code,Race,date of birth,Emotion_code,Neutral,Anger,Scream,Contempt,Disgust,Fear,Happy,Sadness,Surprise,Sun glasses,Scarf,Eyeglasses,Beard,Hat,Angle
26698.jpg,root_dir/datasets/aligned/celeba/26698.jpg,5366,-1,Female,,,,,,,,,,,,,,,,,-1,-1,-1,
14008.jpg,root_dir/datasets/aligned/celeba/14008.jpg,2910,-1,Female,,,,,,,,,,,,,,,,,-1,-1,-1,
29222.jpg,root_dir/datasets/aligned/celeba/29222.jpg,382,-1,Female,,,,,,,,,,,,,,,,,-1,-1,-1,
12283.jpg,root_dir/datasets/aligned/celeba/12283.jpg,4154,-1,Female,,,,,,,,,,,,,,,,,-1,-1,-1,
8606.jpg,root_dir/datasets/aligned/celeba/8606.jpg,6781,1,Male,,,,,,,,,,,,,,,,,1,-1,-1,
17250.jpg,root_dir/datasets/aligned/celeba/17250.jpg,2580,1,Male,,,,,,,,,,,,,,,,,-1,-1,-1,
19525.jpg,root_dir/datasets/aligned/celeba/19525.jpg,259,-1,Female,,,,,,,,,,,,,,,,,-1,-1,-1,
10475.jpg,root_dir/datasets/aligned/celeba/10475.jpg,6814,1,Male,,,,,,,,,,,,,,,,,-1,-1,-1,
13125.jpg,root_dir/datasets/aligned/celeba/13125.jpg,4539,-1,Female,,,,,,,,,,,,,,,,,-1,-1,-1,
17952.jpg,root_dir/datasets/aligned/celeba/17952.jpg,933,1,Male,,,,,,,,,,,,,,,,,-1,1,-1,
29540.jpg,root_dir/datasets/aligned/celeba/29540.jpg,5914,-1,Female,,,,,,,,,,,,,,,,,-1,-1,-1,
7084.jpg,root_dir/datasets/aligned/celeba/7084.jpg,521,-1,Female,,,,,,,,,,,,,,,,,-1,-1,-1,
22917.jpg,root_dir/datasets/aligned/celeba/22917.jpg,8942,-1,Female,,,,,,,,,,,,,,,,,-1,-1,-1,
24913.jpg,root_dir/datasets/aligned/celeba/24913.jpg,2722,1,Male,,,,,,,,,,,,,,,,,-1,-1,-1,
24306.jpg,root_dir/datasets/aligned/celeba/24306.jpg,1051,-1,Female,,,,,,,,,,,,,,,,,-1,-1,-1,
2714.jpg,root_dir/datasets/aligned/celeba/2714.jpg,9678,-1,Female,,,,,,,,,,,,,,,,,-1,-1,-1,
6403.jpg,root_dir/datasets/aligned/celeba/6403.jpg,8245,1,Male,,,,,,,,,,,,,,,,,1,1,-1,
10337.jpg,root_dir/datasets/aligned/celeba/10337.jpg,258,-1,Female,,,,,,,,,,,,,,,,,-1,-1,-1,
16860.jpg,root_dir/datasets/aligned/celeba/16860.jpg,746,1,Male,,,,,,,,,,,,,,,,,-1,1,-1,
15097.jpg,root_dir/datasets/aligned/celeba/15097.jpg,7193,1,Male,,,,,,,,,,,,,,,,,-1,-1,-1,
16592.jpg,root_dir/datasets/aligned/celeba/16592.jpg,1977,-1,Female,,,,,,,,,,,,,,,,,-1,-1,-1,
29916.jpg,root_dir/datasets/aligned/celeba/29916.jpg,8497,-1,Female,,,,,,,,,,,,,,,,,-1,-1,-1,
21014.jpg,root_dir/datasets/aligned/celeba/21014.jpg,876,-1,Female,,,,,,,,,,,,,,,,,-1,-1,-1,
27360.jpg,root_dir/datasets/aligned/celeba/27360.jpg,8084,1,Male,,,,,,,,,,,,,,,,,-1,1,-1,
14805.jpg,root_dir/datasets/aligned/celeba/14805.jpg,7840,1,Male,,,,,,,,,,,,,,,,,-1,1,1,
19277.jpg,root_dir/datasets/aligned/celeba/19277.jpg,6030,-1,Female,,,,,,,,,,,,,,,,,-1,-1,-1,
6114.jpg,root_dir/datasets/aligned/celeba/6114.jpg,5223,-1,Female,,,,,,,,,,,,,,,,,1,-1,-1,
5522.jpg,root_dir/datasets/aligned/celeba/5522.jpg,273,-1,Female,,,,,,,,,,,,,,,,,-1,-1,-1,
16348.jpg,root_dir/datasets/aligned/celeba/16348.jpg,1929,1,Male,,,,,,,,,,,,,,,,,-1,-1,-1,
15654.jpg,root_dir/datasets/aligned/celeba/15654.jpg,4190,1,Male,,,,,,,,,,,,,,,,,1,-1,-1,
11680.jpg,root_dir/datasets/aligned/celeba/11680.jpg,6789,-1,Female,,,,,,,,,,,,,,,,,-1,-1,-1,
26689.jpg,root_dir/datasets/aligned/celeba/26689.jpg,7741,1,Male,,,,,,,,,,,,,,,,,-1,-1,-1,
29996.jpg,root_dir/datasets/aligned/celeba/29996.jpg,155,1,Male,,,,,,,,,,,,,,,,,-1,1,-1,
29728.jpg,root_dir/datasets/aligned/celeba/29728.jpg,4931,-1,Female,,,,,,,,,,,,,,,,,-1,-1,-1,
11636.jpg,root_dir/datasets/aligned/celeba/11636.jpg,5706,-1,Female,,,,,,,,,,,,,,,,,-1,-1,-1,
18139.jpg,root_dir/datasets/aligned/celeba/18139.jpg,2758,-1,Female,,,,,,,,,,,,,,,,,-1,-1,-1,
7761.jpg,root_dir/datasets/aligned/celeba/7761.jpg,8660,-1,Female,,,,,,,,,,,,,,,,,-1,-1,-1,
10408.jpg,root_dir/datasets/aligned/celeba/10408.jpg,201,1,Male,,,,,,,,,,,,,,,,,-1,-1,-1,
12850.jpg,root_dir/datasets/aligned/celeba/12850.jpg,7479,-1,Female,,,,,,,,,,,,,,,,,-1,-1,-1,
26367.jpg,root_dir/datasets/aligned/celeba/26367.jpg,5933,-1,Female,,,,,,,,,,,,,,,,,-1,-1,-1,
12998.jpg,root_dir/datasets/aligned/celeba/12998.jpg,1281,1,Male,,,,,,,,,,,,,,,,,-1,1,-1,
17401.jpg,root_dir/datasets/aligned/celeba/17401.jpg,1113,-1,Female,,,,,,,,,,,,,,,,,-1,-1,-1,
12574.jpg,root_dir/datasets/aligned/celeba/12574.jpg,2042,1,Male,,,,,,,,,,,,,,,,,-1,1,-1,
22550.jpg,root_dir/datasets/aligned/celeba/22550.jpg,6556,1,Male,,,,,,,,,,,,,,,,,-1,-1,-1,
7926.jpg,root_dir/datasets/aligned/celeba/7926.jpg,7320,-1,Female,,,,,,,,,,,,,,,,,-1,-1,-1,
5157.jpg,root_dir/datasets/aligned/celeba/5157.jpg,2263,-1,Female,,,,,,,,,,,,,,,,,-1,-1,-1,
27346.jpg,root_dir/datasets/aligned/celeba/27346.jpg,1654,-1,Female,,,,,,,,,,,,,,,,,-1,-1,-1,
6478.jpg,root_dir/datasets/aligned/celeba/6478.jpg,510,-1,Female,,,,,,,,,,,,,,,,,-1,-1,-1,
19614.jpg,root_dir/datasets/aligned/celeba/19614.jpg,1588,-1,Female,,,,,,,,,,,,,,,,,-1,-1,-1,
15696.jpg,root_dir/datasets/aligned/celeba/15696.jpg,4133,1,Male,,,,,,,,,,,,,,,,,-1,1,-1,
